week_index,dimension,metric
1,dimension_a,28
1,dimension_b,120
2,dimension_a,27.87896117
2,dimension_b,121.1210388
3,dimension_a,41.73758577
3,dimension_b,118.2624142
4,dimension_a,42.55560761
4,dimension_b,112.4443924
5,dimension_a,52.31290091
5,dimension_b,96.68709909
6,dimension_a,38.98954999
6,dimension_b,86.01045001
7,dimension_a,56.56591813
7,dimension_b,76.43408187
8,dimension_a,58.0227155
8,dimension_b,88.9772845
9,dimension_a,70.34106589
9,dimension_b,69.65893411
10,dimension_a,76.50257202
10,dimension_b,67.49742798
11,dimension_a,76.48937915
11,dimension_b,66.51062085
12,dimension_a,74.28423686
12,dimension_b,51.71576314
13,dimension_a,88.87055874
13,dimension_b,48.12944126
14,dimension_a,79.23247973
14,dimension_b,44.76752027
15,dimension_a,88.35491104
15,dimension_b,55.64508896
16,dimension_a,103.2235923
16,dimension_b,47.77640769
17,dimension_a,92.82514096
17,dimension_b,41.17485904
18,dimension_a,109.1470985
18,dimension_b,42.85290152
19,dimension_a,97.17797351
19,dimension_b,30.82202649
20,dimension_a,114.9072816
20,dimension_b,36.09271837
21,dimension_a,113.3255816
21,dimension_b,36.67441841
22,dimension_a,114.424508
22,dimension_b,15.57549203
23,dimension_a,112.1968001
23,dimension_b,31.80319985
24,dimension_a,121.6363274
24,dimension_b,32.3636726
25,dimension_a,123.7381101
25,dimension_b,12.26188991
26,dimension_a,117.4983369
26,dimension_b,12.50166308
27,dimension_a,124.9143781
27,dimension_b,21.08562188
28,dimension_a,120.9847945
28,dimension_b,19.01520549
29,dimension_a,115.7093425
29,dimension_b,13.29065751
30,dimension_a,113.0889749
30,dimension_b,16.91102507
31,dimension_a,125.1258378
31,dimension_b,18.87416221
32,dimension_a,122.8232628
32,dimension_b,20.17673723
33,dimension_a,115.1857558
33,dimension_b,32.81424424
34,dimension_a,106.2189812
34,dimension_b,36.78101876
35,dimension_a,100.9297427
35,dimension_b,34.07025732
36,dimension_a,117.3259591
36,dimension_b,27.67404095
37,dimension_a,115.4166374
37,dimension_b,33.58336261
38,dimension_a,92.21184164
38,dimension_b,37.78815836
39,dimension_a,99.72265786
39,dimension_b,46.27734214
40,dimension_a,99.96115589
40,dimension_b,52.03884411
41,dimension_a,81.94034753
41,dimension_b,44.05965247
42,dimension_a,79.67414162
42,dimension_b,55.32585838
43,dimension_a,89.17729585
43,dimension_b,48.82270415
44,dimension_a,77.46536576
44,dimension_b,52.53463424
45,dimension_a,77.5546509
45,dimension_b,69.4453491
46,dimension_a,75.46213847
46,dimension_b,76.53786153
47,dimension_a,68.20544454
47,dimension_b,69.79455546
48,dimension_a,56.80275311
48,dimension_b,88.19724689
49,dimension_a,52.27275323
49,dimension_b,92.72724677
50,dimension_a,51.63457434
50,dimension_b,91.36542566
51,dimension_a,48.90772006
51,dimension_b,91.09227994
52,dimension_a,44.11200081
52,dimension_b,102.8879992
