job,currency
"Designer, fashion/clothing",CRC
Public relations officer,AWG
"Therapist, occupational",TOP
Operational investment banker,GEL
Television production assistant,MUR
Bonds trader,HNL
"Radiographer, diagnostic",SZL
Dancer,IRR
Research scientist (physical sciences),IQD
Press photographer,ILS
"Therapist, speech and language",UZS
Chief Technology Officer,VEF
"Teacher, special educational needs",PGK
"Programmer, multimedia",AED
Higher education lecturer,SBD
Television camera operator,MOP
Set designer,MUR
Wellsite geologist,TTD
"Copywriter, advertising",ARS
"Nurse, mental health",MRO
Nature conservation officer,VEF
Sports therapist,KRW
Sports coach,AUD
Consulting civil engineer,QAR
Environmental consultant,TOP
Veterinary surgeon,KMF
Land,JEP
Archivist,BBD
Child psychotherapist,CHF
Data processing manager,AOA
IT trainer,IDR
Tourist information centre manager,UYU
"Engineer, production",KES
Cartographer,DZD
Public librarian,VND
Homeopath,SVC
Hospital doctor,NZD
"Scientist, biomedical",XDR
Transport planner,LSL
"Scientist, biomedical",TRY
"Engineer, automotive",SBD
Recruitment consultant,NIO
Event organiser,UAH
"Production assistant, television",AMD
"Editor, commissioning",NGN
Systems developer,ISK
Advertising copywriter,GEL
Conference centre manager,MGA
"Scientist, research (physical sciences)",SEK
General practice doctor,PKR
"Teacher, special educational needs",SHP
Environmental manager,TWD
Soil scientist,GHS
"Clinical scientist, histocompatibility and immunogenetics",ANG
"Loss adjuster, chartered",CRC
Patent attorney,PAB
"Investment banker, corporate",GTQ
Armed forces training and education officer,DKK
Building surveyor,XOF
Radiation protection practitioner,VEF
"Engineer, drilling",JPY
"Designer, jewellery",SGD
Exercise physiologist,XOF
"Nurse, adult",SDG
Ranger/warden,GGP
"Teacher, English as a foreign language",KPW
Petroleum engineer,SLL
Chartered legal executive (England and Wales),SRD
Meteorologist,NGN
Research scientist (physical sciences),SDG
"Teacher, English as a foreign language",BYR
"Radiographer, therapeutic",FJD
Chiropractor,AWG
Intelligence analyst,AWG
"Psychologist, occupational",TND
Investment analyst,LYD
"Teacher, secondary school",ZAR
Automotive engineer,GEL
Psychiatric nurse,AOA
Photographer,SVC
"Designer, television/film set",MZN
Tax inspector,SRD
Intelligence analyst,PAB
Applications developer,LKR
