week_index,dimension,metric
1,dimension_a,0
1,dimension_b,100
2,dimension_a,1.960784314
2,dimension_b,98.03921569
3,dimension_a,3.921568627
3,dimension_b,96.07843137
4,dimension_a,5.882352941
4,dimension_b,94.11764706
5,dimension_a,7.843137255
5,dimension_b,92.15686275
6,dimension_a,9.803921569
6,dimension_b,90.19607843
7,dimension_a,11.76470588
7,dimension_b,88.23529412
8,dimension_a,13.7254902
8,dimension_b,86.2745098
9,dimension_a,15.68627451
9,dimension_b,84.31372549
10,dimension_a,17.64705882
10,dimension_b,82.35294118
11,dimension_a,19.60784314
11,dimension_b,80.39215686
12,dimension_a,21.56862745
12,dimension_b,78.43137255
13,dimension_a,23.52941176
13,dimension_b,76.47058824
14,dimension_a,25.49019608
14,dimension_b,74.50980392
15,dimension_a,27.45098039
15,dimension_b,72.54901961
16,dimension_a,29.41176471
16,dimension_b,70.58823529
17,dimension_a,31.37254902
17,dimension_b,68.62745098
18,dimension_a,33.33333333
18,dimension_b,66.66666667
19,dimension_a,35.29411765
19,dimension_b,64.70588235
20,dimension_a,37.25490196
20,dimension_b,62.74509804
21,dimension_a,39.21568627
21,dimension_b,60.78431373
22,dimension_a,41.17647059
22,dimension_b,58.82352941
23,dimension_a,43.1372549
23,dimension_b,56.8627451
24,dimension_a,45.09803922
24,dimension_b,54.90196078
25,dimension_a,47.05882353
25,dimension_b,52.94117647
26,dimension_a,49.01960784
26,dimension_b,50.98039216
27,dimension_a,50.98039216
27,dimension_b,49.01960784
28,dimension_a,52.94117647
28,dimension_b,47.05882353
29,dimension_a,54.90196078
29,dimension_b,45.09803922
30,dimension_a,56.8627451
30,dimension_b,43.1372549
31,dimension_a,58.82352941
31,dimension_b,41.17647059
32,dimension_a,60.78431373
32,dimension_b,39.21568627
33,dimension_a,62.74509804
33,dimension_b,37.25490196
34,dimension_a,64.70588235
34,dimension_b,35.29411765
35,dimension_a,66.66666667
35,dimension_b,33.33333333
36,dimension_a,68.62745098
36,dimension_b,31.37254902
37,dimension_a,70.58823529
37,dimension_b,29.41176471
38,dimension_a,72.54901961
38,dimension_b,27.45098039
39,dimension_a,74.50980392
39,dimension_b,25.49019608
40,dimension_a,76.47058824
40,dimension_b,23.52941176
41,dimension_a,78.43137255
41,dimension_b,21.56862745
42,dimension_a,80.39215686
42,dimension_b,19.60784314
43,dimension_a,82.35294118
43,dimension_b,17.64705882
44,dimension_a,84.31372549
44,dimension_b,15.68627451
45,dimension_a,86.2745098
45,dimension_b,13.7254902
46,dimension_a,88.23529412
46,dimension_b,11.76470588
47,dimension_a,90.19607843
47,dimension_b,9.803921569
48,dimension_a,92.15686275
48,dimension_b,7.843137255
49,dimension_a,94.11764706
49,dimension_b,5.882352941
50,dimension_a,96.07843137
50,dimension_b,3.921568627
51,dimension_a,98.03921569
51,dimension_b,1.960784314
52,dimension_a,100
52,dimension_b,0
