"","week_index","dimension","metric"
"1",1,"dimension_a",26
"2",1,"dimension_b",17
"3",2,"dimension_a",30
"4",2,"dimension_b",11
"5",3,"dimension_a",10
"6",3,"dimension_b",26
"7",4,"dimension_a",28
"8",4,"dimension_b",25
"9",5,"dimension_a",16
"10",5,"dimension_b",27
"11",6,"dimension_a",28
"12",6,"dimension_b",12
"13",7,"dimension_a",15
"14",7,"dimension_b",14
"15",8,"dimension_a",28
"16",8,"dimension_b",20
"17",9,"dimension_a",17
"18",9,"dimension_b",21
"19",10,"dimension_a",11
"20",10,"dimension_b",27
"21",11,"dimension_a",14
"22",11,"dimension_b",19
"23",12,"dimension_a",19
"24",12,"dimension_b",19
"25",13,"dimension_a",22
"26",13,"dimension_b",14
"27",14,"dimension_a",29
"28",14,"dimension_b",18
"29",15,"dimension_a",10
"30",15,"dimension_b",23
"31",16,"dimension_a",17
"32",16,"dimension_b",13
"33",17,"dimension_a",15
"34",17,"dimension_b",24
"35",18,"dimension_a",21
"36",18,"dimension_b",14
"37",19,"dimension_a",25
"38",19,"dimension_b",27
"39",20,"dimension_a",14
"40",20,"dimension_b",28
"41",21,"dimension_a",27
"42",21,"dimension_b",15
"43",22,"dimension_a",15
"44",22,"dimension_b",16
"45",23,"dimension_a",10
"46",23,"dimension_b",27
"47",24,"dimension_a",10
"48",24,"dimension_b",23
"49",25,"dimension_a",15
"50",25,"dimension_b",17
"51",26,"dimension_a",28
"52",26,"dimension_b",30
"53",27,"dimension_a",23
"54",27,"dimension_b",24
"55",28,"dimension_a",29
"56",28,"dimension_b",13
"57",29,"dimension_a",21
"58",29,"dimension_b",26
"59",30,"dimension_a",12
"60",30,"dimension_b",12
"61",31,"dimension_a",27
"62",31,"dimension_b",12
"63",32,"dimension_a",24
"64",32,"dimension_b",17
"65",33,"dimension_a",15
"66",33,"dimension_b",19
"67",34,"dimension_a",23
"68",34,"dimension_b",16
"69",35,"dimension_a",20
"70",35,"dimension_b",24
"71",36,"dimension_a",18
"72",36,"dimension_b",27
"73",37,"dimension_a",13
"74",37,"dimension_b",16
"75",38,"dimension_a",28
"76",38,"dimension_b",24
"77",39,"dimension_a",18
"78",39,"dimension_b",13
"79",40,"dimension_a",14
"80",40,"dimension_b",17
"81",41,"dimension_a",16
"82",41,"dimension_b",21
"83",42,"dimension_a",25
"84",42,"dimension_b",16
"85",43,"dimension_a",30
"86",43,"dimension_b",27
"87",44,"dimension_a",23
"88",44,"dimension_b",16
"89",45,"dimension_a",30
"90",45,"dimension_b",14
"91",46,"dimension_a",23
"92",46,"dimension_b",28
"93",47,"dimension_a",11
"94",47,"dimension_b",29
"95",48,"dimension_a",24
"96",48,"dimension_b",19
"97",49,"dimension_a",24
"98",49,"dimension_b",29
"99",50,"dimension_a",30
"100",50,"dimension_b",30
"101",51,"dimension_a",13
"102",51,"dimension_b",22
"103",52,"dimension_a",16
"104",52,"dimension_b",27
